{12, 43}
{12, 42}
{12, 40}
{12, 39}
{12, 37}
{12, 35}
{12, 34}
{12, 33}
{12, 31}
{12, 30}
{12, 29}
{12, 27}
{12, 26}
{12, 25}
{12, 23}
{12, 21}
{12, 18}
{12, 16}
{12, 15}
{12, 13}
{11, 40}
{11, 38}
{11, 36}
{11, 31}
{11, 24}
{11, 18}
{11, 15}
{10, 50}
{10, 48}
{10, 46}
{10, 44}
{10, 41}
{10, 39}
{10, 38}
{10, 37}
{10, 35}
{10, 33}
{10, 31}
{10, 29}
{10, 25}
{10, 24}
{10, 23}
{10, 21}
{10, 20}
{10, 19}
{10, 15}
{10, 14}
{10, 12}
{10, 11}
{9, 44}
{9, 43}
{9, 33}
{9, 27}
{9, 25}
{9, 23}
{9, 16}
{9, 15}
{9, 10}
{8, 46}
{8, 31}
{8, 29}
{8, 21}
{8, 20}
{8, 19}
{8, 16}
{8, 14}
{7, 47}
{7, 46}
{7, 43}
{7, 42}
{7, 40}
{7, 37}
{7, 35}
{7, 31}
{7, 30}
{7, 29}
{7, 21}
{7, 20}
{7, 14}
{7, 12}
{7, 9}
{6, 47}
{6, 23}
{6, 21}
{5, 36}
{5, 27}
{5, 24}
{5, 20}
{5, 19}
{5, 18}
{5, 14}
{5, 12}
{4, 50}
{4, 30}
{4, 27}
{4, 16}
{3, 50}
{3, 49}
{3, 46}
{3, 31}
{3, 19}
{3, 12}
{3, 10}
{3, 9}
{2, 45}
{2, 39}
{2, 25}
{2, 21}
{2, 19}
{2, 15}
{2, 9}
{2, 7}
{1, 47}
{1, 36}
{1, 29}
{1, 21}
{1, 19}
{1, 12}
{1, 10}
{1, 7}
